,accountAgeDays,numItems,localTime,paymentMethod,paymentMethodAgeDays,label
0,29,1,4.745402,paypal,28.2048611111,0
1,725,1,4.742303,storecredit,0.0,0
2,845,1,4.921318,creditcard,0.0,0
3,503,1,4.886641,creditcard,0.0,0
4,2000,1,5.040929,creditcard,0.0,0
5,119,1,4.962055,paypal,0.0,0
6,2000,1,4.921349,paypal,0.0,0
7,371,1,4.876771,creditcard,0.0,0
8,2000,1,4.748314,creditcard,0.0,0
9,4,1,4.461622,creditcard,0.0,0
10,26,1,4.745402,paypal,0.0,0
11,2000,1,4.505662,creditcard,0.000694444444444,0
12,3,1,4.962055,creditcard,2.69097222222,0
13,3,1,4.921318,creditcard,2.06944444444,0
14,23,1,4.745402,creditcard,0.00138888888889,0
15,5,1,4.921349,paypal,4.03611111111,0
16,1208,1,4.836982,creditcard,0.000694444444444,0
17,11,1,4.921349,creditcard,10.8659722222,0
18,123,1,4.748314,creditcard,0.000694444444444,0
19,2000,1,4.895263,creditcard,248.774305556,0
20,1672,1,5.034622,creditcard,978.752777778,0
21,36,1,4.742303,creditcard,0.0145833333333,0
22,16,1,4.886641,creditcard,15.7965277778,0
23,278,1,5.034622,creditcard,6.89236111111,0
24,223,1,4.748314,creditcard,0.0,0
25,30,1,4.057414,creditcard,0.0,0
26,2,1,4.921349,creditcard,0.0,0
27,2000,1,3.483951,creditcard,503.425,0
28,1936,1,4.057414,creditcard,635.641666667,0
29,2000,1,4.921318,creditcard,948.806944444,0
30,2,1,4.505662,creditcard,1.20347222222,0
31,2000,1,4.836982,creditcard,0.00138888888889,0
32,998,1,4.921318,creditcard,0.0,0
33,914,1,4.461622,creditcard,0.00555555555556,0
34,23,1,2.596228,creditcard,0.000694444444444,0
35,2000,1,5.017904,creditcard,0.0,0
36,2,1,4.836982,creditcard,1.69722222222,0
37,19,1,4.505662,paypal,0.0,0
38,18,1,4.965339,creditcard,0.0,0
39,1562,1,4.505662,creditcard,981.346527778,0
40,288,1,4.748314,paypal,0.0,0
41,310,1,4.965339,creditcard,96.9423611111,0
42,2,1,4.921318,creditcard,0.0,0
43,2000,1,4.965339,storecredit,0.0,0
44,2,1,5.034622,creditcard,1.09791666667,0
45,2000,1,4.52458,paypal,0.00486111111111,0
46,1144,1,4.876771,creditcard,1142.90625,0
47,1743,1,4.836982,creditcard,367.813888889,0
48,817,1,4.962055,creditcard,0.00347222222222,0
49,2000,1,4.742303,creditcard,0.00694444444444,0
50,179,1,4.921318,storecredit,0.0,0
51,2000,1,4.886641,storecredit,212.140277778,0
52,204,1,4.886641,creditcard,0.0354166666667,0
53,2000,1,4.748314,paypal,641.321527778,0
54,2000,1,4.965339,creditcard,348.305555556,0
55,546,1,4.895263,paypal,0.000694444444444,0
56,2000,1,4.921318,paypal,597.16875,0
57,1409,1,4.962055,creditcard,0.00277777777778,0
58,210,1,4.876771,creditcard,0.0,0
59,2000,1,4.745402,paypal,1034.67152778,0
60,107,1,4.962055,creditcard,4.10555555556,0
61,406,1,4.836982,creditcard,405.136111111,0
62,34,1,4.962055,creditcard,33.9111111111,0
63,200,1,2.94894,creditcard,199.620833333,0
64,638,1,4.962055,creditcard,0.00138888888889,0
65,32,1,4.057414,paypal,23.4333333333,0
66,684,1,4.965339,paypal,316.036805556,0
67,2000,1,4.52458,creditcard,708.970833333,0
68,1657,1,4.921318,creditcard,26.2222222222,0
69,1133,1,4.921349,creditcard,65.85625,0
70,4,1,5.017904,creditcard,3.36597222222,0
71,599,1,4.962055,creditcard,0.0,0
72,2000,1,5.034622,paypal,544.96875,0
73,162,2,4.748314,creditcard,161.954861111,0
74,1407,1,4.962055,creditcard,0.0,0
75,2000,1,4.505662,creditcard,0.0,0
76,535,1,4.742303,creditcard,37.4270833333,0
77,735,1,4.748314,creditcard,0.0,0
78,1657,1,3.066058,paypal,244.559722222,0
79,3,1,4.876771,creditcard,2.77777777778,0
80,1397,1,4.748314,creditcard,342.889583333,0
81,222,1,4.921318,creditcard,221.259027778,0
82,913,1,4.895263,creditcard,0.0,0
83,1843,1,5.040929,creditcard,0.208333333333,0
84,19,1,4.886641,creditcard,0.00138888888889,0
85,2000,1,5.017904,creditcard,225.318055556,0
86,2000,1,4.742303,paypal,259.127777778,0
87,1014,1,4.965339,creditcard,666.010416667,0
88,2000,1,4.748314,creditcard,0.0,0
89,964,1,4.876771,creditcard,0.0,0
90,66,1,4.745402,paypal,0.954166666667,0
91,544,1,4.965339,paypal,0.0,0
92,1866,1,4.742303,paypal,145.461111111,0
93,2000,1,3.575983,creditcard,777.126388889,0
94,601,1,3.954522,creditcard,0.0,0
95,954,1,4.886641,creditcard,0.688888888889,0
96,211,1,4.505662,storecredit,202.078472222,0
97,2000,1,4.876771,creditcard,0.000694444444444,0
98,883,3,4.505662,paypal,424.275,0
99,1183,1,4.962055,creditcard,0.0,0
100,2000,1,5.017904,creditcard,372.04375,0
101,605,1,4.921318,creditcard,0.0,0
102,1625,1,4.895263,creditcard,0.0,0
103,1933,1,3.575983,creditcard,82.0305555556,0
104,3,1,4.836982,creditcard,0.0,0
105,2000,1,4.962055,paypal,0.00208333333333,0
106,1547,1,4.962055,paypal,0.00208333333333,0
107,54,1,4.962055,creditcard,0.0,0
108,279,1,4.745402,creditcard,113.7875,0
109,1,4,4.836982,creditcard,0.0,1
110,2000,1,4.745402,creditcard,0.00138888888889,0
111,89,1,4.52458,paypal,88.0479166667,0
112,1767,1,5.040929,creditcard,754.884722222,0
113,1609,1,4.965339,storecredit,0.0576388888889,0
114,261,1,4.895263,creditcard,254.733333333,0
115,2000,1,4.057414,paypal,0.0,0
116,978,2,4.876771,creditcard,0.0,0
117,1858,1,4.962055,creditcard,0.0131944444444,0
118,3,1,5.034622,paypal,1.98263888889,0
119,2000,1,5.040929,paypal,0.0,0
120,150,1,5.040929,creditcard,86.1486111111,0
121,182,1,4.52458,storecredit,174.556944444,0
122,931,1,3.575983,creditcard,0.0,0
123,158,1,4.461622,creditcard,0.0,0
124,2000,1,4.962055,creditcard,718.765277778,0
125,2000,1,4.965339,paypal,0.0,0
126,2000,1,4.745402,creditcard,0.0,0
127,1162,1,4.876771,paypal,0.0,0
128,1208,1,4.962055,creditcard,465.825,0
129,127,1,5.040929,creditcard,0.000694444444444,0
130,13,1,4.921318,creditcard,0.0,0
131,1670,1,4.748314,paypal,0.0,0
132,2000,1,4.836982,paypal,101.892361111,0
133,444,1,4.836982,paypal,99.1173611111,0
134,21,1,4.895263,creditcard,20.9,0
135,19,2,4.962055,creditcard,0.0,0
136,66,1,4.742303,creditcard,16.825,0
137,2000,1,4.745402,storecredit,0.0,0
138,86,1,4.52458,creditcard,85.3736111111,0
139,1896,1,4.921349,creditcard,0.0,0
140,273,1,5.034622,creditcard,0.00138888888889,0
141,43,1,4.876771,creditcard,0.00208333333333,0
142,154,1,4.895263,creditcard,0.0,0
143,497,1,4.965339,storecredit,494.973611111,0
144,494,1,4.962055,paypal,0.0458333333333,0
145,1799,1,4.921349,paypal,1762.99930556,0
146,2000,1,3.483951,creditcard,502.381944444,0
147,541,1,4.057414,creditcard,0.0,0
148,369,1,4.921349,creditcard,0.0,0
149,1075,1,3.066058,creditcard,8.1,0
150,2000,1,5.017904,paypal,129.929166667,0
151,53,1,5.040929,paypal,52.2444444444,0
152,2000,1,4.921349,creditcard,327.901388889,0
153,824,1,4.057414,creditcard,0.000694444444444,0
154,3,1,4.505662,creditcard,0.00277777777778,0
155,604,1,4.876771,creditcard,0.0,0
156,1285,1,4.52458,paypal,26.0069444444,0
157,279,1,4.057414,creditcard,0.00416666666667,0
158,2,1,4.921349,creditcard,0.0,0
159,1477,1,5.017904,paypal,0.0,0
160,645,1,3.954522,paypal,555.336111111,0
161,2,1,4.52458,creditcard,1.15,0
162,131,1,4.886641,creditcard,0.0,0
163,2000,1,4.461622,paypal,0.0,0
164,37,1,4.505662,creditcard,36.4402777778,0
165,3,1,4.921349,storecredit,0.0,0
166,2000,1,2.94894,creditcard,0.0,0
167,2000,1,5.017904,creditcard,0.00694444444444,0
168,125,1,4.895263,paypal,0.00138888888889,0
169,1535,1,5.017904,paypal,0.00555555555556,0
170,1305,1,5.040929,creditcard,1261.10763889,0
171,2000,1,4.962055,paypal,711.086111111,0
172,2000,4,4.742303,creditcard,0.0,0
173,32,1,4.962055,creditcard,29.1798611111,0
174,2000,1,4.886641,paypal,0.423611111111,0
175,2000,1,5.040929,creditcard,0.00347222222222,0
176,106,1,4.965339,creditcard,0.0,0
177,1672,1,4.921349,paypal,1568.80347222,0
178,1900,1,5.034622,creditcard,0.00555555555556,0
179,911,1,4.876771,paypal,0.000694444444444,0
180,66,1,4.057414,paypal,0.0,0
181,13,1,4.921349,creditcard,12.1986111111,0
182,2000,5,2.596228,creditcard,217.588888889,0
183,1394,5,4.742303,creditcard,549.980555556,0
184,1991,1,4.886641,creditcard,1394.41805556,0
185,31,1,4.505662,creditcard,30.2347222222,0
186,102,1,4.836982,creditcard,0.0,0
187,1941,1,4.921349,creditcard,2.8875,0
188,1460,1,3.066058,paypal,0.00208333333333,0
189,664,1,4.886641,paypal,0.000694444444444,0
190,1979,1,4.505662,storecredit,455.571527778,0
191,2000,1,4.461622,paypal,1.54236111111,0
192,569,1,4.876771,creditcard,0.0111111111111,0
193,171,1,5.034622,creditcard,0.0,0
194,1392,1,4.965339,creditcard,0.0,0
195,639,1,5.017904,creditcard,627.975,0
196,14,1,4.921318,creditcard,0.0,0
197,776,1,4.886641,creditcard,0.0,0
198,906,1,5.040929,creditcard,0.0,0
199,4,1,4.921318,creditcard,0.0,0
200,2000,1,4.921349,creditcard,264.756944444,0
201,131,1,4.962055,paypal,130.193055556,0
202,49,1,4.886641,creditcard,0.0,0
203,2,1,4.836982,creditcard,1.0375,0
204,145,1,4.745402,creditcard,144.51875,0
205,91,1,4.505662,creditcard,0.000694444444444,0
206,17,1,5.034622,creditcard,0.0,0
207,151,1,4.965339,creditcard,0.0,0
208,553,1,4.965339,creditcard,4.1,0
209,779,3,4.057414,creditcard,128.027777778,0
210,1306,1,4.836982,creditcard,0.00277777777778,0
211,2000,1,5.017904,creditcard,293.9875,0
212,877,1,4.52458,creditcard,682.832638889,0
213,2000,1,4.748314,paypal,0.0,0
214,949,1,4.965339,creditcard,0.00208333333333,0
215,367,1,5.017904,creditcard,0.0,0
216,2000,1,4.921349,creditcard,0.00208333333333,0
217,1602,1,4.921349,creditcard,0.00972222222222,0
218,2000,1,4.52458,creditcard,277.090277778,0
219,1536,1,4.742303,creditcard,966.345833333,0
220,2000,1,4.745402,paypal,2.92083333333,0
221,526,1,4.886641,creditcard,25.9458333333,0
222,51,1,4.836982,creditcard,0.0,0
223,1289,1,5.034622,creditcard,251.146527778,0
224,38,1,4.921318,creditcard,0.0,0
225,235,1,4.921318,storecredit,0.0,0
226,1842,1,4.876771,creditcard,0.775694444444,0
227,2,1,4.748314,creditcard,1.025,0
228,39,1,5.017904,paypal,0.0,0
229,529,1,4.895263,creditcard,508.497222222,0
230,2000,1,4.505662,creditcard,0.00138888888889,0
231,2,1,3.575983,creditcard,1.11666666667,0
232,1994,1,4.921318,creditcard,0.000694444444444,0
233,4,1,2.596228,paypal,3.46319444444,0
234,2000,1,4.895263,paypal,944.692361111,0
235,37,1,4.505662,paypal,0.0,0
236,2000,1,4.876771,creditcard,101.161111111,0
237,1612,1,4.505662,paypal,0.494444444444,0
238,17,1,5.017904,paypal,16.0652777778,0
239,1615,1,4.748314,paypal,0.000694444444444,0
240,19,1,5.040929,storecredit,18.2138888889,0
241,2000,1,4.886641,creditcard,253.284722222,0
242,884,1,4.965339,creditcard,0.0166666666667,0
243,1,1,4.836982,paypal,0.00277777777778,1
244,190,1,5.034622,storecredit,97.0430555556,0
245,130,1,4.505662,creditcard,129.234722222,0
246,2000,1,4.742303,paypal,0.0,0
247,2000,1,4.962055,paypal,0.0,0
248,3,1,4.748314,creditcard,0.00138888888889,0
249,8,1,5.040929,creditcard,0.0,0
250,295,2,5.040929,creditcard,0.00138888888889,0
251,352,1,4.745402,creditcard,351.856944444,0
252,2000,1,4.748314,paypal,3.05902777778,0
253,1603,1,4.876771,paypal,0.0,0
254,322,1,4.745402,creditcard,0.0,0
255,114,1,4.876771,paypal,0.0,0
256,1981,1,4.921349,creditcard,0.0,0
257,3,1,4.52458,creditcard,2.03611111111,0
258,2000,1,4.921318,creditcard,0.0,0
259,1173,1,5.017904,creditcard,0.00347222222222,0
260,125,1,4.921349,creditcard,124.186111111,0
261,635,1,4.921349,creditcard,633.884722222,0
262,2000,1,4.876771,storecredit,0.0,0
263,54,1,4.886641,creditcard,0.0,0
264,54,1,4.836982,creditcard,0.0,0
265,633,1,5.034622,creditcard,0.0,0
266,8,1,4.745402,creditcard,0.0,0
267,256,1,4.962055,paypal,0.0,0
268,145,1,4.886641,creditcard,0.0,0
269,73,2,4.52458,creditcard,72.3763888889,0
270,466,1,4.057414,creditcard,0.0,0
271,1608,1,4.921349,creditcard,478.614583333,0
272,1783,1,4.52458,creditcard,0.0,0
273,989,1,4.836982,creditcard,988.666666667,0
274,1292,1,4.921349,creditcard,0.0,0
275,2,1,5.034622,paypal,1.02638888889,0
276,1597,1,5.017904,creditcard,118.989583333,0
277,578,1,3.575983,creditcard,486.192361111,0
278,105,1,5.040929,paypal,104.176388889,0
279,2000,2,4.745402,creditcard,0.0,0
280,1,1,4.921318,creditcard,0.0,1
281,2000,1,3.483951,creditcard,0.442361111111,0
282,211,1,2.596228,creditcard,210.372916667,0
283,2000,1,4.836982,creditcard,0.0,0
284,167,1,4.921318,creditcard,166.896527778,0
285,140,1,5.034622,creditcard,139.034027778,0
286,41,1,4.895263,creditcard,8.58541666667,0
287,179,1,4.921318,creditcard,0.00208333333333,0
288,563,1,4.921318,creditcard,0.0,0
289,633,1,5.034622,creditcard,0.0,0
290,190,1,4.895263,creditcard,1.52291666667,0
291,33,1,4.52458,creditcard,32.1041666667,0
292,549,1,4.895263,paypal,0.452083333333,0
293,2000,1,4.52458,creditcard,302.149305556,0
294,1049,1,5.034622,creditcard,0.0,0
295,2000,1,4.876771,creditcard,4.94583333333,0
296,611,1,4.895263,creditcard,103.5875,0
297,10,1,4.836982,creditcard,0.0,0
298,1759,1,4.057414,creditcard,477.525694444,0
299,1679,1,4.745402,paypal,0.000694444444444,0
300,3,1,4.886641,creditcard,2.975,0
301,15,1,4.836982,creditcard,14.3798611111,0
302,8,1,4.52458,paypal,7.04722222222,0
303,842,1,4.742303,creditcard,833.5625,0
304,877,1,4.745402,creditcard,0.0,0
305,1326,1,5.034622,creditcard,0.0,0
306,2,1,3.483951,creditcard,1.11388888889,0
307,2000,1,4.921349,creditcard,210.03125,0
308,798,1,4.745402,creditcard,0.0,0
309,211,1,4.836982,creditcard,0.00694444444444,0
310,804,1,5.040929,creditcard,0.0,0
311,987,1,4.836982,paypal,0.0541666666667,0
312,1089,1,3.954522,creditcard,1088.73819444,0
313,205,1,4.745402,creditcard,0.0,0
314,1350,1,3.954522,paypal,0.0111111111111,0
315,2000,1,4.921349,paypal,366.69375,0
316,2,1,4.962055,creditcard,1.74861111111,0
317,785,2,4.745402,creditcard,85.8680555556,0
318,2,1,4.965339,paypal,0.00277777777778,0
319,606,1,4.505662,creditcard,0.0,0
320,943,1,4.965339,creditcard,0.0,0
321,312,1,4.876771,creditcard,0.0,0
322,442,1,4.965339,paypal,0.0,0
323,444,1,4.886641,creditcard,74.0020833333,0
324,25,1,4.836982,creditcard,24.0743055556,0
325,2000,1,4.52458,creditcard,1376.66875,0
326,14,1,4.461622,creditcard,13.9041666667,0
327,641,1,4.748314,creditcard,0.0,0
328,2000,1,5.017904,paypal,170.184027778,0
329,474,1,4.742303,paypal,0.0,0
330,2000,1,4.745402,creditcard,160.616666667,0
331,1519,1,4.836982,paypal,0.0,0
332,299,1,4.505662,paypal,0.000694444444444,0
333,739,1,4.057414,paypal,0.00555555555556,0
334,239,1,4.886641,creditcard,0.0,0
335,169,1,4.876771,creditcard,168.021527778,0
336,148,1,4.921318,storecredit,143.358333333,0
337,80,1,4.876771,paypal,0.0,0
338,922,1,4.836982,creditcard,0.0,0
339,955,2,4.461622,creditcard,0.0,0
340,1413,1,4.057414,creditcard,0.0472222222222,0
341,1131,1,4.886641,creditcard,0.0,0
342,674,1,4.836982,creditcard,42.9909722222,0
343,2000,1,4.965339,creditcard,3.33888888889,0
344,2000,1,4.962055,creditcard,195.903472222,0
345,2000,1,4.895263,creditcard,0.0,0
346,290,1,4.057414,creditcard,288.980555556,0
347,1767,1,4.461622,creditcard,32.4444444444,0
348,4,1,4.876771,creditcard,0.000694444444444,0
349,3,1,4.876771,paypal,0.0,0
350,365,1,4.748314,creditcard,0.0,0
351,823,1,5.017904,creditcard,0.110416666667,0
352,1443,1,4.748314,creditcard,0.0,0
353,2,1,4.461622,creditcard,1.72291666667,0
354,597,1,4.886641,paypal,212.104861111,0
355,1477,1,4.745402,paypal,64.60625,0
356,2000,1,4.745402,paypal,0.0743055555556,0
357,44,1,4.921349,creditcard,0.0,0
358,2000,1,4.52458,creditcard,0.0,0
359,2000,1,5.040929,creditcard,0.00277777777778,0
360,2000,1,4.057414,creditcard,406.548611111,0
361,2000,1,5.034622,creditcard,0.0,0
362,1,1,4.52458,paypal,0.0,1
363,2,1,4.748314,creditcard,1.0125,0
364,2000,1,4.876771,paypal,2.0625,0
365,5,1,4.886641,creditcard,0.0256944444444,0
366,8,2,4.505662,creditcard,0.0,0
367,2000,1,4.921349,creditcard,1830.76319444,0
368,978,1,3.066058,creditcard,0.0125,0
369,132,1,4.52458,creditcard,0.977083333333,0
370,2000,1,5.017904,creditcard,0.000694444444444,0
371,324,1,4.886641,creditcard,0.0,0
372,1691,1,4.742303,creditcard,1579.56041667,0
373,2000,1,4.962055,paypal,969.936805556,0
374,212,1,3.954522,creditcard,0.0,0
375,6,2,4.921349,creditcard,0.0,0
376,531,1,4.895263,paypal,121.625694444,0
377,136,1,5.017904,creditcard,0.0,0
378,1307,1,4.505662,creditcard,0.0,0
379,2000,1,4.742303,creditcard,625.884722222,0
380,897,1,4.505662,creditcard,896.957638889,0
381,64,1,3.954522,creditcard,0.626388888889,0
382,1611,1,4.962055,creditcard,0.0,0
383,119,1,4.886641,creditcard,0.000694444444444,0
384,12,1,5.034622,creditcard,0.000694444444444,0
385,695,1,4.505662,creditcard,0.0,0
386,1073,1,4.921318,creditcard,49.8458333333,0
387,2000,1,4.742303,creditcard,412.55625,0
388,2000,1,4.748314,creditcard,0.0,0
389,4,1,4.748314,paypal,0.000694444444444,0
390,2000,1,5.040929,creditcard,0.0,0
391,272,2,5.040929,creditcard,0.0,0
392,1992,1,5.017904,creditcard,0.000694444444444,0
393,2000,1,5.017904,creditcard,1384.53194444,0
394,501,1,5.017904,paypal,0.000694444444444,0
395,99,1,4.895263,creditcard,32.4340277778,0
